year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2009,35,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2009,55,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,24,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,39,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,30,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,68,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,54,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,27,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,34,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,53,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2004,48,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2005,59,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,30,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,45,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,39,Married,Other,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,45,Married,Asian,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,30,Never Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,57,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,53,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2009,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,23,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,58,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,43,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,33,Divorced,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,56,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,37,Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,41,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2007,33,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,50,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,53,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,37,Widowed,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2006,20,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2003,26,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,29,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,57,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,47,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,54,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,38,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,23,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2004,31,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,43,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,33,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,No,No
2004,48,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2008,33,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,52,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,30,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2004,44,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,38,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,51,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,47,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,28,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2004,52,Divorced,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,23,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,65,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,27,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,33,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,27,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2008,48,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,38,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2008,58,Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2003,40,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,53,Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2009,25,Never Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,42,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,35,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,50,Separated,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,34,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,48,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,49,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,No
2009,41,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,37,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,58,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2006,28,Never Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,33,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,50,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,38,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,30,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,49,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2005,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,50,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,58,Married,Asian,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2004,45,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,44,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2005,35,Divorced,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2005,59,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,45,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,Si
2004,51,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,61,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2008,45,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,34,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,33,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2005,45,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,50,Never Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2006,50,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,39,Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2009,26,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,49,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,31,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,49,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,56,Never Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,61,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,56,Separated,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,51,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2004,42,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,45,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,30,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2005,48,Never Married,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2009,33,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2007,50,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,31,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,48,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,35,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,47,Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,45,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2009,52,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,47,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,36,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,51,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,Si
2008,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,37,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2005,23,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,43,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,34,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,58,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,44,Never Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,61,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2005,40,Divorced,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,37,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,33,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,38,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,41,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,30,Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,51,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,39,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,56,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,44,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,51,Divorced,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2006,35,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,47,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,51,Married,Asian,Some College,Middle Atlantic,Information,<=Good,No,No
2006,41,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,63,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,61,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,33,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,35,Separated,White,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,28,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2007,50,Married,Asian,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,41,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,23,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,Si
2004,45,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,63,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,59,Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2005,30,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,30,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,45,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2005,42,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,57,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,52,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2003,54,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,30,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,47,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,38,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,47,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2008,39,Never Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,50,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,47,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,45,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2007,44,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,52,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,42,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,Si
2004,18,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,56,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,50,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2006,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,53,Never Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2009,38,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,27,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,56,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2003,56,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,50,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2005,49,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2005,42,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,50,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,53,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,28,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2003,45,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,24,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,25,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,38,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,47,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,38,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,33,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2006,39,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,52,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,46,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,42,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,61,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,42,Divorced,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,61,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,27,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,45,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,58,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,25,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,34,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,44,Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2007,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2007,51,Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,64,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2003,54,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,42,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,31,Married,Asian,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,25,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,32,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,51,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,75,Married,Black,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,28,Married,Other,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,28,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,32,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2006,53,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
